,No. of Mths  Year Ending,variable,value,name
135,Gross profit,12  Mar-18*,20038.0,SUNTV
136,Depreciation,12  Mar-18*,4500.0,SUNTV
137,Interest,12  Mar-18*,11.0,SUNTV
138,Profit before tax,12  Mar-18*,16950.0,SUNTV
139,Minority Interest,12  Mar-18*,0.0,SUNTV
140,Prior Period Items,12  Mar-18*,230.0,SUNTV
141,Extraordinary Inc (Exp),12  Mar-18*,0.0,SUNTV
142,Tax,12  Mar-18*,5824.0,SUNTV
143,Profit after tax,12  Mar-18*,11355.0,SUNTV
144,Gross profit margin,12  Mar-18*,67.6,SUNTV
145,Effective tax rate,12  Mar-18*,34.4,SUNTV
146,Net profit margin,12  Mar-18*,38.3,SUNTV
147,Current assets,12  Mar-18*,30996.0,SUNTV
148,Current liabilities,12  Mar-18*,4917.0,SUNTV
149,Net working cap to sales,12  Mar-18*,88.0,SUNTV
150,Current ratio,12  Mar-18*,6.3,SUNTV
151,Inventory Days,12  Mar-18*,0.0,SUNTV
152,Debtors Days,12  Mar-18*,131.0,SUNTV
153,Net fixed assets,12  Mar-18*,12026.0,SUNTV
154,Share capital,12  Mar-18*,1970.0,SUNTV
155,"""Free"" reserves",12  Mar-18*,44914.0,SUNTV
156,Net worth,12  Mar-18*,46884.0,SUNTV
157,Long term debt,12  Mar-18*,0.0,SUNTV
158,Total assets,12  Mar-18*,52740.0,SUNTV
159,Interest coverage,12  Mar-18*,1570.4,SUNTV
160,Debt to equity ratio,12  Mar-18*,0.0,SUNTV
161,Sales to assets ratio,12  Mar-18*,0.6,SUNTV
162,Return on assets,12  Mar-18*,21.6,SUNTV
163,Return on equity,12  Mar-18*,24.2,SUNTV
164,Return on capital,12  Mar-18*,36.7,SUNTV
165,Exports to sales,12  Mar-18*,0.0,SUNTV
166,Imports to sales,12  Mar-18*,0.0,SUNTV
167,Exports (fob),12  Mar-18*,0.0,SUNTV
168,Imports (cif),12  Mar-18*,0.0,SUNTV
169,Fx inflow,12  Mar-18*,1712.0,SUNTV
170,Fx outflow,12  Mar-18*,705.0,SUNTV
171,Net fx,12  Mar-18*,1007.0,SUNTV
172,From Operations,12  Mar-18*,13712.0,SUNTV
173,From Investments,12  Mar-18*,-12946.0,SUNTV
174,From Financial Activity,12  Mar-18*,-4754.0,SUNTV
175,Net Cashflow,12  Mar-18*,-3982.0,SUNTV
176,Net Sales,12  Mar-19*,37825.0,SUNTV
177,Other income,12  Mar-19*,2271.0,SUNTV
178,Total revenues,12  Mar-19*,40097.0,SUNTV
179,Gross profit,12  Mar-19*,26067.0,SUNTV
180,Depreciation,12  Mar-19*,6628.0,SUNTV
181,Interest,12  Mar-19*,17.0,SUNTV
182,Profit before tax,12  Mar-19*,21693.0,SUNTV
183,Minority Interest,12  Mar-19*,0.0,SUNTV
184,Prior Period Items,12  Mar-19*,154.0,SUNTV
185,Extraordinary Inc (Exp),12  Mar-19*,0.0,SUNTV
186,Tax,12  Mar-19*,7511.0,SUNTV
187,Profit after tax,12  Mar-19*,14337.0,SUNTV
188,Gross profit margin,12  Mar-19*,68.9,SUNTV
189,Effective tax rate,12  Mar-19*,34.6,SUNTV
190,Net profit margin,12  Mar-19*,37.9,SUNTV
191,Current assets,12  Mar-19*,40447.0,SUNTV
192,Current liabilities,12  Mar-19*,5492.0,SUNTV
193,Net working cap to sales,12  Mar-19*,92.4,SUNTV
194,Current ratio,12  Mar-19*,7.4,SUNTV
195,Inventory Days,12  Mar-19*,0.0,SUNTV
196,Debtors Days,12  Mar-19*,109.0,SUNTV
197,Net fixed assets,12  Mar-19*,11254.0,SUNTV
198,Share capital,12  Mar-19*,1970.0,SUNTV
199,"""Free"" reserves",12  Mar-19*,53295.0,SUNTV
200,Net worth,12  Mar-19*,55265.0,SUNTV
201,Long term debt,12  Mar-19*,0.0,SUNTV
202,Total assets,12  Mar-19*,61977.0,SUNTV
203,Interest coverage,12  Mar-19*,1315.7,SUNTV
204,Debt to equity ratio,12  Mar-19*,0.0,SUNTV
205,Sales to assets ratio,12  Mar-19*,0.6,SUNTV
206,Return on assets,12  Mar-19*,23.2,SUNTV
207,Return on equity,12  Mar-19*,25.9,SUNTV
208,Return on capital,12  Mar-19*,39.6,SUNTV
209,Exports to sales,12  Mar-19*,0.0,SUNTV
210,Imports to sales,12  Mar-19*,0.0,SUNTV
211,Exports (fob),12  Mar-19*,0.0,SUNTV
212,Imports (cif),12  Mar-19*,0.0,SUNTV
213,Fx inflow,12  Mar-19*,2170.0,SUNTV
214,Fx outflow,12  Mar-19*,742.0,SUNTV
215,Net fx,12  Mar-19*,1428.0,SUNTV
216,From Operations,12  Mar-19*,18241.0,SUNTV
217,From Investments,12  Mar-19*,-11131.0,SUNTV
218,From Financial Activity,12  Mar-19*,-5955.0,SUNTV
219,Net Cashflow,12  Mar-19*,1153.0,SUNTV
