,percent_monthly_change,percent_yearly_change,percent_change_week,52weekHigh,52weekLow,percent_ADR/GDR,percent_div_yeild,eps_ttm,FIIs,FV,percent_foreign_collaborators,percent_freefloat,percent_indian_promoters,percent_indian_inst_mutual_funds,market_cap,num_of_shares,P/CF,P/E,percent_pledged_promoter_holding,price,sector,shareholders,volume,incorporate_year,cluster
ARTI,0.257,0.5870000000000001,0.177,1229.1,662.1,0.0,0.0,24.8,0.02,5.0,0.0,0.3,0.55,0.13,206826000000.0,173120000.0,46.0,48.1,0.0,1194.7,9.0,17208.0,1400.0,1984.0,6
ARWEB,0.336,-0.271,0.021,224.8,54.0,0.0,0.7,8.0,0.13699999999999998,1.0,0.0,0.44799999999999995,0.41,0.004,27068000000.0,230660000.0,11.4,14.6,0.139,117.4,15.0,65686.0,8900.0,1990.0,14
ASAHI,0.28800000000000003,0.243,0.109,277.0,118.4,0.0,0.5,5.8,0.002,1.0,0.222,0.46799999999999997,0.308,0.0,53930000000.0,243090000.0,11.0,38.1,0.107,221.9,2.0,53212.0,5500.0,1987.0,5
ASEG,0.109,-0.153,0.087,57.4,22.3,0.0,1.4,0.0,0.001,10.0,0.0,0.6509999999999999,0.34700000000000003,0.001,124000000.0,3500000.0,4.0,12425.0,0.0,35.5,6.0,5959.0,4500.0,1977.0,14
ASHAP,0.461,1.331,0.228,55.4,18.7,0.0,0.0,43.3,0.18100000000000002,2.0,0.0,0.32799999999999996,0.489,0.002,5058000000.0,86990000.0,-14.6,1.3,0.698,58.2,29.0,21969.0,600.0,1960.0,14
ASHBL,0.268,-0.29100000000000004,-0.027000000000000003,127.9,37.0,0.0,0.0,20.7,0.037000000000000005,5.0,0.0,0.16399999999999998,0.675,0.124,13578000000.0,187150000.0,6.2,3.5,0.0,72.6,12.0,12114.0,50500.0,1993.0,14
ASHG,0.32899999999999996,-0.257,0.021,125.0,39.0,0.0,0.3,-3.0,0.025,2.0,0.0,0.303,0.6709999999999999,0.0,8398000000.0,102350000.0,38.3,-27.8,0.0,82.1,12.0,9292.0,3400.0,0.0,14
ASHT,0.11699999999999999,-0.359,0.079,125.0,44.8,0.0,0.0,-15.3,0.001,10.0,0.653,0.223,0.09699999999999999,0.027000000000000003,1229000000.0,19450000.0,-6.3,-4.1,0.9570000000000001,63.2,22.0,17784.0,500.0,1980.0,14
ASOK,0.36200000000000004,0.085,0.095,87.5,33.7,0.124,4.7,0.8,0.204,1.0,0.38799999999999996,0.16399999999999998,0.0,0.121,195370000000.0,2845880000.0,6.8,81.6,0.131,68.7,3.0,323610.0,126900.0,1948.0,6
ASON,0.037000000000000005,0.747,0.043,242.8,63.1,0.0,1.4,18.6,0.0,10.0,0.0,0.377,0.623,0.0,2665000000.0,12270000.0,10.1,11.7,0.0,217.2,32.0,5133.0,1100.0,1990.0,14
