,percent_monthly_change,percent_yearly_change,percent_change_week,52weekHigh,52weekLow,percent_ADR/GDR,percent_div_yeild,eps_ttm,FIIs,FV,percent_foreign_collaborators,percent_freefloat,percent_indian_promoters,percent_indian_inst_mutual_funds,market_cap,num_of_shares,P/CF,P/E,percent_pledged_promoter_holding,price,sector,shareholders,volume,incorporate_year,cluster
GATE,0.099,-0.031,0.11800000000000001,137.6,71.0,0.0,4.5,9.5,0.295,10.0,0.077,0.12,0.252,0.257,10814000000.0,115600000.0,3.2,9.9,0.28800000000000003,93.6,26.0,32234.0,1300.0,1994.0,14
GBN,-0.064,0.71,0.028999999999999998,41.7,11.9,0.0,0.0,2.2,0.085,2.0,0.0,0.27899999999999997,0.604,0.032,58031000000.0,1714360000.0,18.9,15.4,0.0,33.9,27.0,83662.0,567900.0,2005.0,5
GBTL,-0.145,-0.307,0.038,3.0,1.0,0.0,0.0,-13.5,0.001,10.0,0.0,0.298,0.442,0.258,260000000.0,157300000.0,-0.1,-0.1,0.993,1.7,42.0,86363.0,22300.0,1987.0,14
GCHS,0.075,-0.428,0.047,190.5,52.1,0.0,5.4,27.3,0.034,10.0,0.0,0.452,0.415,0.1,5439000000.0,53850000.0,2.0,3.7,0.0,101.0,24.0,39033.0,6100.0,1989.0,14
GDCN,0.02,0.139,0.018000000000000002,771.8,425.1,0.0,2.2,14.6,0.284,1.0,0.0,0.065,0.633,0.017,704230000000.0,1015180000.0,28.0,47.5,0.0,693.7,14.0,84863.0,5200.0,2001.0,2
GDFR,0.044000000000000004,-0.046,0.006,1480.4,732.4,0.0,0.2,74.6,0.102,2.0,0.251,0.157,0.46,0.031,49296000000.0,52000000.0,13.8,12.7,0.0,948.0,5.0,14468.0,0.0,1936.0,5
GDRK,0.38,0.9420000000000001,0.11900000000000001,317.7,90.0,0.0,1.4,7.6,0.0,10.0,0.74,0.26,0.0,0.0,6718000000.0,21600000.0,14.5,41.2,0.0,311.0,5.0,13943.0,0.0,1977.0,14
GDSP,0.13699999999999998,-0.045,0.079,458.2,234.0,0.0,0.3,11.1,0.11199999999999999,1.0,0.0,0.10300000000000001,0.7490000000000001,0.036000000000000004,139361000000.0,335890000.0,13.4,37.3,0.0,414.9,14.0,44482.0,100.0,1928.0,6
GDYR,0.024,0.083,0.016,1186.8,531.3,0.0,1.4,38.4,0.009000000000000001,10.0,0.74,0.156,0.0,0.095,21965000000.0,23070000.0,15.3,24.8,0.0,952.1,48.0,24647.0,100.0,1922.0,14
GEOJIT,0.052000000000000005,0.759,0.055999999999999994,43.7,15.0,0.0,5.0,1.6,0.024,1.0,0.335,0.332,0.306,0.004,9456000000.0,229240000.0,10.3,25.8,0.0,41.3,30.0,36145.0,11900.0,1987.0,14
GESCO,0.34600000000000003,-0.237,0.131,454.2,171.2,0.001,2.7,-41.5,0.301,10.0,0.0,0.168,0.51,0.019,11610000000.0,41010000.0,23.3,-6.8,0.0,283.1,12.0,65696.0,100.0,1998.0,14
GESHIP,0.287,0.16,0.051,369.4,169.0,0.002,2.0,48.3,0.255,10.0,0.0,0.284,0.305,0.154,41720000000.0,150780000.0,5.6,5.7,0.0,276.7,41.0,73557.0,1000.0,1948.0,5
GFCL,0.168,-0.36,0.087,349.8,111.0,0.0,1.7,4.8,0.11800000000000001,2.0,0.6,0.21,0.0,0.073,18723000000.0,99140000.0,11.1,39.5,0.0,188.9,17.0,56112.0,6600.0,1993.0,14
GJAX,0.264,0.45899999999999996,0.075,206.0,85.1,0.0,0.4,10.5,0.001,2.0,0.0,0.27899999999999997,0.72,0.001,27934000000.0,139150000.0,9.5,19.2,0.0,200.8,5.0,52252.0,1400.0,1990.0,14
GJFU,0.031,0.568,0.067,163.4,48.6,0.0,3.5,56.0,0.018000000000000002,1.0,0.0,0.254,0.6990000000000001,0.028999999999999998,11121000000.0,115780000.0,0.7,1.7,0.0,96.1,10.0,11345.0,0.0,1988.0,14
GJHC,0.14800000000000002,-0.084,0.151,227.0,68.8,0.0,2.8,40.6,0.075,10.0,0.055,0.6859999999999999,0.121,0.063,17468000000.0,100020000.0,3.7,4.3,0.473,174.7,9.0,63986.0,6000.0,1988.0,14
GJPW,0.083,0.08900000000000001,0.009000000000000001,87.0,42.5,0.0,3.4,16.4,0.02,10.0,0.0,0.134,0.5820000000000001,0.264,11850000000.0,151250000.0,2.9,4.8,0.0,78.4,38.0,64271.0,600.0,1985.0,14
GLNE,0.096,-0.006999999999999999,-0.002,573.0,296.3,0.0,0.5,8.0,0.09699999999999999,1.0,0.693,0.15,0.0,0.06,256429000000.0,539000000.0,46.3,59.6,0.0,475.8,32.0,16881.0,400.0,1920.0,13
GLPH,0.157,0.301,0.023,572.7,168.0,0.0,0.4,27.5,0.344,1.0,0.0,0.105,0.483,0.069,138827000000.0,282170000.0,11.1,17.9,0.0,492.0,35.0,56727.0,4600.0,1977.0,6
GLXO,0.04,0.27,0.013000000000000001,1745.0,1046.4,0.0,1.3,6.5,0.23800000000000002,10.0,0.507,0.154,0.0,0.102,259759000000.0,169410000.0,52.6,236.0,0.0,1533.4,35.0,102036.0,200.0,1924.0,13
GMDC,0.191,-0.205,0.091,72.4,29.5,0.0,7.0,6.4,0.061,2.0,0.0,0.084,0.74,0.115,15868000000.0,318000000.0,2.9,7.8,0.0,49.9,29.0,52394.0,6000.0,1963.0,14
GMRI,0.157,0.693,0.237,26.6,14.1,0.0,0.0,-4.4,0.14,1.0,0.0,0.125,0.648,0.087,112520000000.0,4361250000.0,29.8,-5.9,0.789,25.8,15.0,440700.0,110500.0,1996.0,6
GMSO,0.026000000000000002,0.489,-0.001,269.4,171.5,0.0,0.7,22.7,0.038,2.0,0.0,0.565,0.387,0.01,16939000000.0,64430000.00000001,17.3,11.6,0.0,262.9,42.0,23828.0,22600.0,1994.0,14
GNFC,0.406,0.244,0.28600000000000003,224.5,95.7,0.001,3.1,32.1,0.114,10.0,0.0,0.314,0.41200000000000003,0.16,35327000000.0,155420000.0,3.5,7.1,0.0,227.3,19.0,247600.0,94000.0,1976.0,5
GNST,0.157,-0.252,0.083,332.9,136.7,0.0,4.0,17.7,0.02,5.0,0.0,0.247,0.733,0.001,3101000000.0,13820000.0,8.3,12.7,0.0,224.4,43.0,5306.0,100.0,1959.0,14
GOEX,0.228,-0.248,0.084,96.9,27.6,0.0,0.0,9.4,0.0,5.0,0.578,0.313,0.0,0.11,2032000000.0,34590000.0,-14.0,6.3,1.0,58.8,47.0,10911.0,1500.0,1979.0,14
GPL,-0.033,-0.036000000000000004,-0.006,1188.0,506.0,0.0,0.0,12.2,0.115,5.0,0.0,0.121,0.75,0.015,172836000000.0,199350000.0,68.2,71.3,0.0,867.0,12.0,33172.0,1100.0,1985.0,6
GRFS,0.049,-0.27699999999999997,0.061,5605.0,2700.0,0.0,0.1,189.1,0.0,10.0,0.75,0.10800000000000001,0.0,0.142,5513000000.0,1510000.0,17.8,19.3,0.0,3651.0,6.0,2625.0,0.0,1984.0,14
GRMCO,0.07200000000000001,0.488,0.036000000000000004,540.5,185.0,0.0,0.6,28.2,0.005,10.0,0.0,0.40299999999999997,0.591,0.0,8590000000.0,17400000.0,14.9,17.5,0.0,493.7,27.0,16363.0,7100.0,1968.0,14
GRNPY,0.133,-0.327,0.114,195.3,70.2,0.0,0.6,2.7,0.153,1.0,0.0,0.233,0.55,0.065,11648000000.0,120700000.0,6.9,35.7,0.0,96.5,30.0,3736.0,700.0,1984.0,14
GRNR,0.161,-0.012,0.07200000000000001,699.0,369.2,0.0,1.1,15.3,0.03,5.0,0.513,0.27899999999999997,0.077,0.10099999999999999,61959000000.0,110720000.0,29.0,36.6,0.0,559.6,6.0,12133.0,0.0,1950.0,5
GRSM,0.158,-0.083,0.081,836.6,380.0,0.145,1.5,129.4,0.228,2.0,0.0,0.212,0.255,0.16,315217000000.0,466780000.0,5.2,5.2,0.0,675.3,47.0,138458.0,28300.0,1947.0,13
GRVS,-0.046,-0.349,-0.036000000000000004,154.2,66.3,0.0,4.9,6.0,0.04,2.0,0.0,0.125,0.515,0.32,19757000000.0,244210000.0,9.2,13.4,0.0,80.9,6.0,40512.0,300.0,1922.0,14
GSFC,0.149,-0.028999999999999998,0.124,97.7,29.9,0.0,3.2,2.5,0.18899999999999997,2.0,0.0,0.23800000000000002,0.37799999999999995,0.195,27536000000.0,398500000.0,4.4,27.9,0.0,69.1,19.0,93482.0,35300.0,1962.0,14
GTZE,0.179,-0.168,0.065,664.9,239.3,0.0,0.0,5.4,0.002,10.0,0.75,0.115,0.0,0.133,23100000000.0,55630000.0,12.7,77.4,0.0,415.3,2.0,18086.0,0.0,1954.0,14
GUSP,0.0,-0.016,0.02,263.5,146.0,0.0,0.8,19.7,0.076,10.0,0.0,0.213,0.377,0.33299999999999996,118732000000.0,562980000.0,14.1,10.7,0.0,210.9,17.0,164278.0,600.0,1998.0,6
GVKP,0.33799999999999997,-0.344,0.204,5.7,2.0,0.0,0.0,0.8,0.11599999999999999,1.0,0.0,0.32,0.5429999999999999,0.022000000000000002,4943000000.0,1579210000.0,0.7,4.2,0.0,3.1,38.0,294493.0,1077400.0,1995.0,14
HALC,0.247,0.09,0.012,221.2,85.1,0.076,0.6,2.8,0.276,1.0,0.0,0.136,0.37,0.141,437506000000.0,2245920000.0,4.3,70.6,0.0,194.8,1.0,331588.0,40600.0,1958.0,10
HAVL,0.063,-0.012,0.046,765.1,447.2,0.0,0.7,11.7,0.26,1.0,0.0,0.098,0.616,0.026000000000000002,403133000000.0,624480000.0,43.0,55.0,0.0,645.6,6.0,71756.0,4800.0,1958.0,10
HAWK,0.207,0.727,0.04,5540.0,2710.5,0.0,1.6,123.3,0.002,10.0,0.07200000000000001,0.371,0.488,0.067,26133000000.0,5290000.0,44.9,40.1,0.0,4940.0,13.0,11069.0,0.0,1959.0,14
HCDL,-0.262,0.133,-0.039,57.5,10.7,0.0,0.0,0.5,0.331,2.0,0.0,0.049,0.475,0.14400000000000002,27434000000.0,759950000.0,5.1,66.1,0.0,36.1,46.0,7457.0,3900.0,1959.0,14
HCLI,0.005,0.125,0.011000000000000001,12.4,3.2,0.0,0.0,-12.9,0.047,2.0,0.0,0.307,0.581,0.066,2042000000.0,222900000.0,-1.6,-0.7,0.0,9.2,11.0,70907.0,2900.0,1990.0,14
HCNS,0.055999999999999994,-0.239,0.047,13.3,3.6,0.0,0.0,-4.8,0.127,1.0,0.0,0.40299999999999997,0.435,0.035,4870000000.0,779160000.0,-39.1,-1.3,0.7140000000000001,6.3,12.0,211750.0,17300.0,1926.0,14
HDBK,0.005,-0.004,0.087,1304.1,738.9,0.17,0.2,50.0,0.341,1.0,0.0,0.16399999999999998,0.226,0.099,6148317000000.0,5470760000.0,10.2,22.5,0.0,1123.9,4.0,415166.0,27500.0,1994.0,8
HDFC,0.003,-0.14,0.026000000000000002,2499.7,1473.1,0.0,1.1,103.0,0.7759999999999999,2.0,0.0,0.12,0.0,0.105,3187072000000.0,1725310000.0,5.4,17.9,0.0,1847.3,24.0,175570.0,5600.0,1977.0,9
HDFN,0.764,1.0959999999999999,0.096,660.0,192.0,0.0,2.6,-45.8,0.064,10.0,0.134,0.23600000000000002,0.562,0.004,13709000000.0,20560000.0,-10.0,-14.6,0.0,666.8,27.0,11998.0,0.0,1983.0,14
HDIL,0.778,-0.105,0.095,6.8,1.2,0.0,0.0,2.2,0.35600000000000004,10.0,0.0,0.265,0.374,0.006,2183000000.0,419000000.0,2.0,2.3,0.0,5.2,12.0,276594.0,498000.0,1996.0,14
HEGL,0.001,-0.132,0.031,1473.0,413.2,0.0,8.7,12.0,0.01,10.0,0.29600000000000004,0.29600000000000004,0.292,0.107,35578000000.0,44320000.0,1.1,66.7,0.0,802.8,15.0,31421.0,1200.0,1972.0,5
HERH,0.195,0.205,0.048,108.3,47.9,0.0,1.6,3.1,0.0,1.0,0.0,0.304,0.695,0.0,3053000000.0,32000000.0,19.3,31.0,0.0,95.4,6.0,9648.0,0.0,1962.0,14
HFCM,0.447,-0.068,0.086,20.3,8.2,0.0,0.6,1.6,0.008,10.0,0.0,0.47600000000000003,0.38799999999999996,0.127,22863000000.0,1274400000.0,8.8,11.2,0.499,17.9,45.0,250838.0,32100.0,1987.0,14
HGTEL,0.023,0.33,-0.011000000000000001,4.6,1.8,0.0,0.0,-19.0,0.006999999999999999,10.0,0.11800000000000001,0.242,0.631,0.002,6940000000.0,1954930000.0,-0.1,-0.2,0.34700000000000003,3.6,45.0,408334.0,2500.0,1996.0,14
HLL,-0.008,0.16899999999999998,-0.002,2614.0,1756.0,0.0,1.1,31.7,0.141,1.0,0.6729999999999999,0.145,0.0,0.040999999999999995,4743439000000.0,2164270000.0,61.1,69.1,0.0,2191.7,14.0,322351.0,1800.0,1933.0,0
HMCH,0.27,-0.273,0.27699999999999997,92.0,27.3,0.0,0.3,5.1,0.0,1.0,0.0,0.0,0.0,0.0,24184000000.0,418410000.0,6.7,11.4,0.0,57.8,2.0,0.0,20100.0,1990.0,14
HMNI,0.465,0.222,0.018000000000000002,363.2,140.9,0.0,2.2,13.6,0.168,1.0,0.022000000000000002,0.092,0.706,0.013000000000000001,81266000000.0,226970000.0,12.9,26.3,0.195,358.1,14.0,25076.0,800.0,1983.0,5
HMT,0.047,0.517,0.10099999999999999,20.3,7.5,0.0,0.0,0.1,0.0,10.0,0.0,0.1,0.9,0.0,21734000000.0,1204090000.0,-20.1,248.7,0.0,18.1,3.0,22554.0,600.0,1953.0,14
HMTS,0.38,-0.292,0.18,166.0,43.0,0.0,2.8,1.3,0.009000000000000001,5.0,0.013000000000000001,0.271,0.5579999999999999,0.149,8807000000.0,98460000.0,3.2,66.4,0.0,89.5,47.0,21457.0,2500.0,1985.0,14
HMVL,0.071,-0.267,0.078,92.0,35.5,0.0,2.3,16.4,0.039,10.0,0.0,0.069,0.7490000000000001,0.14300000000000002,3875000000.0,73390000.0,4.2,3.2,0.0,52.8,27.0,6753.0,0.0,1918.0,14
HNCP,0.077,0.28800000000000003,0.043,51.0,18.3,0.0,1.3,-6.2,0.0,5.0,0.0,0.026000000000000002,0.9,0.07400000000000001,36037000000.0,925220000.0,9.0,-6.3,0.0,39.0,43.0,64716.0,3900.0,1967.0,5
HNGL,-0.086,0.223,0.048,49.0,21.2,0.0,0.0,-11.8,0.073,2.0,0.0,0.22699999999999998,0.7,0.001,2563000000.0,87340000.0,-17.8,-2.5,0.271,29.4,31.0,4388.0,1300.0,1946.0,14
HNMT,0.107,0.115,0.025,8.4,2.5,0.0,0.0,1.2,0.0,10.0,0.0,0.532,0.32299999999999995,0.14400000000000002,1296000000.0,208770000.0,4.6,5.1,0.389,6.2,3.0,132124.0,800.0,1942.0,14
HOCM,0.141,0.466,0.05,8999.0,5610.0,0.0,1.0,176.6,0.146,10.0,0.604,0.105,0.0,0.14400000000000002,202664000000.0,23030000.0,41.9,49.8,0.0,8800.0,35.0,15184.0,0.0,1956.0,6
HOEX,0.327,-0.045,0.168,114.6,30.6,0.0,0.0,10.4,0.049,10.0,0.47200000000000003,0.46399999999999997,0.0,0.016,11875000000.0,130490000.00000001,5.9,8.8,0.0,91.0,17.0,80399.0,4500.0,1983.0,14
HOVS,0.0,-0.424,0.092,90.6,22.3,0.0,0.0,1.0,0.001,10.0,0.493,0.505,0.002,0.0,520000000.0,12540000.0,15.1,40.2,0.0,41.5,42.0,8484.0,2600.0,1989.0,14
HPCL,-0.071,-0.159,0.005,329.3,155.0,0.0,7.5,30.5,0.125,10.0,0.0,0.158,0.511,0.205,323082000000.0,1523260000.0,3.7,7.0,0.0,212.1,17.0,96930.0,7800.0,1952.0,13
HRFO,0.141,0.10400000000000001,0.079,409.8,146.7,0.0,0.3,-36.2,0.032,10.0,0.0,0.5539999999999999,0.4,0.013999999999999999,16358000000.0,46400000.0,12.8,-9.7,0.0,352.6,5.0,11067.0,1100.0,1992.0,14
HROH,0.107,0.171,0.036000000000000004,3075.1,1475.0,0.0,3.0,181.9,0.306,2.0,0.0,0.08800000000000001,0.522,0.085,605773000000.0,199690000.0,16.0,16.7,0.0,3033.6,3.0,75661.0,1900.0,1985.0,2
HSAN,0.195,0.259,0.11199999999999999,69.4,34.7,0.0,4.9,7.3,0.114,2.0,0.0,0.175,0.516,0.196,4412000000.0,66050000.0,2.0,9.1,0.0,66.8,8.0,16709.0,2300.0,1958.0,14
HTECH,0.03,0.28300000000000003,-0.025,728.8,375.5,0.0,0.6,43.3,0.29100000000000004,2.0,0.171,0.057999999999999996,0.445,0.036000000000000004,1901872000000.0,2713670000.0,15.6,16.2,0.0,700.9,42.0,89311.0,8700.0,1991.0,4
HTMA,0.272,-0.302,0.212,27.0,7.8,0.0,2.4,-9.1,0.141,2.0,0.0,0.085,0.695,0.079,3772000000.0,235020000.0,0.8,-1.8,0.0,16.1,27.0,26297.0,27800.0,2002.0,14
HYDI,0.242,0.32,0.024,1670.0,497.2,0.0,1.6,108.1,0.0,10.0,0.001,0.542,0.41,0.048,11761000000.0,7470000.0,6.9,14.6,0.0,1574.4,12.0,15355.0,2500.0,1946.0,14
HZNC,0.132,0.098,-0.013999999999999999,258.8,122.0,0.0,8.8,15.1,0.025,2.0,0.0,0.016,0.649,0.309,958303000000.0,4225319999.9999995,9.7,15.0,0.0,226.8,29.0,56550.0,1900.0,1966.0,3
IBHF,-0.044000000000000004,-0.5770000000000001,0.016,507.0,81.3,0.0,29.5,81.3,0.0,2.0,0.0,0.0,0.0,0.0,88081000000.0,426540000.0,2.3,2.5,0.0,206.5,1.0,0.0,113900.0,0.0,5
IBRL,0.27399999999999997,-0.057,-0.012,113.0,36.9,0.001,0.0,2.9,0.289,2.0,0.0,0.319,0.377,0.013000000000000001,28729000000.0,424980000.0,5.5,23.4,0.0,67.6,12.0,103927.0,11800.0,2006.0,14
ICBK,0.006,-0.067,0.066,552.4,269.0,0.292,0.3,13.3,0.4,2.0,0.0,0.078,0.0,0.231,2487748000000.0,6475980000.0,3.6,28.9,0.0,384.2,4.0,585463.0,99500.0,1995.0,12
ICI,0.14,0.23199999999999998,0.042,2515.0,1690.1,0.0,1.1,49.5,0.023,10.0,0.73,0.151,0.0,0.09699999999999999,100795000000.0,47960000.0,36.5,42.5,0.0,2101.7,32.0,41161.0,0.0,1954.0,5
ICMN,0.02,0.6509999999999999,0.046,140.0,69.5,0.011000000000000001,0.7,-1.3,0.318,10.0,0.0,0.253,0.282,0.136,37031000000.0,307180000.0,10.4,-93.6,0.762,120.6,7.0,96086.0,3200.0,1946.0,5
ICRA,0.124,0.08199999999999999,0.113,3227.0,1968.0,0.0,1.1,86.3,0.12300000000000001,10.0,0.21600000000000003,0.132,0.285,0.245,27473000000.0,9650000.0,24.9,33.0,0.0,2847.0,39.0,14670.0,200.0,1991.0,14
IDBI,0.11199999999999999,0.52,0.106,55.8,17.5,0.0,0.0,-80.3,0.034,10.0,0.0,0.11199999999999999,0.7170000000000001,0.13699999999999998,68489000000.0,1603960000.0,-2.1,-0.5,0.0,42.7,4.0,438231.0,16500.0,1964.0,5
IDBL,0.151,-0.243,0.10800000000000001,48.0,17.8,0.0,0.0,-6.0,0.147,10.0,0.0,0.106,0.528,0.038,156595000000.0,4781520000.0,3.7,-5.5,0.0,32.8,4.0,0.0,117000.0,2015.0,6
IDEA,0.083,0.652,0.016,12.6,2.6,0.0,0.0,-108.6,0.21600000000000003,10.0,0.0,0.309,0.429,0.045,79667000000.0,8735390000.0,-30.1,-0.1,0.0,9.1,45.0,266634.0,493700.0,1995.0,5
IDFC,0.53,-0.138,0.09300000000000001,40.5,13.4,0.0,0.0,0.2,0.529,10.0,0.0,0.172,0.0,0.3,46668000000.0,1592760000.0,-103.5,162.4,0.0,29.3,24.0,323308.0,13200.0,1997.0,5
IFCI,0.138,0.032,0.059000000000000004,9.3,3.1,0.0,0.0,-0.7,0.081,10.0,0.0,0.23399999999999999,0.555,0.13,12449000000.0,1662040000.0,-3.8,-11.0,0.0,7.5,24.0,690058.0,13700.0,1948.0,14
IFLEX,0.022000000000000002,0.021,0.006,3238.5,1532.5,0.0,6.2,172.8,0.11900000000000001,5.0,0.746,0.114,0.0,0.022000000000000002,260219000000.0,84620000.0,20.7,17.8,0.0,3075.2,42.0,18006.0,100.0,1992.0,13
IFVN,0.299,0.311,-0.005,4.6,1.6,0.0,15.0,-0.1,0.004,2.0,0.0,0.45399999999999996,0.505,0.037000000000000005,1256000000.0,314030000.0,6.0,-32.9,1.0,4.0,30.0,31147.0,100.0,1997.0,14
IGL,0.03,0.27399999999999997,0.069,534.4,284.6,0.0,0.6,16.2,0.149,10.0,0.0,0.184,0.45,0.217,293860000000.0,700000000.0,30.7,25.9,0.0,419.8,17.0,59955.0,9500.0,1998.0,13
IHCL,0.342,-0.21899999999999997,0.145,163.0,62.1,0.0,0.7,0.9,0.179,1.0,0.0,0.225,0.375,0.22,85834000000.0,807470000.0,15.0,116.4,0.0,106.3,22.0,152054.0,20700.0,1958.0,5
IIDF,0.14,-0.368,0.159,30.7,6.7,0.0,0.0,-29.9,0.129,2.0,0.0,0.402,0.446,0.023,1453000000.0,127430000.0,1.0,-0.4,0.955,11.4,42.0,10174.0,1100.0,1981.0,14
IINFO,0.648,1.382,0.32899999999999996,3.9,1.2,0.0,0.0,0.8,0.0,10.0,0.0,0.386,0.068,0.546,3703000000.0,898880000.0,4.6,5.4,0.0,4.1,42.0,162257.0,898100.0,1994.0,14
INDBK,0.10099999999999999,-0.6409999999999999,0.044000000000000004,202.8,41.7,0.0,0.0,16.3,0.055999999999999994,10.0,0.0,0.038,0.821,0.085,31747000000.0,480290000.0,0.7,4.1,0.0,66.1,4.0,66052.0,3800.0,1907.0,5
INDIG,0.247,-0.29600000000000004,0.03,1911.0,765.1,0.0,0.4,31.6,0.001,10.0,0.0,0.251,0.7490000000000001,0.251,454541000000.0,384410000.0,49.6,37.4,0.0,1182.5,0.0,82033.0,12400.0,2006.0,10
INDIN,0.026000000000000002,-0.603,0.045,1596.4,235.6,0.12300000000000001,1.4,57.7,0.433,10.0,0.152,0.217,0.0,0.075,319917000000.0,596920000.0,3.3,9.3,0.0,536.0,4.0,100355.0,30200.0,1994.0,13
INDOCO,0.198,0.7959999999999999,-0.024,285.0,133.1,0.0,0.4,2.6,0.06,2.0,0.0,0.22399999999999998,0.5920000000000001,0.125,22896000000.0,92180000.0,21.0,94.6,0.0,248.4,30.0,12805.0,0.0,1945.0,14
INET,0.42,-0.457,0.21100000000000002,487.4,145.0,0.0,0.6,12.7,0.06,2.0,0.0,0.205,0.735,0.0,32611000000.0,125980000.0,13.4,20.4,0.0,258.9,12.0,1520.0,800.0,1982.0,5
INFY,0.025,0.17800000000000002,-0.012,986.0,511.1,0.161,1.8,39.8,0.42100000000000004,5.0,0.0,0.122,0.159,0.136,4062895000000.0,4295040000.0,20.8,23.7,0.0,946.0,42.0,376380.0,7200.0,1981.0,0
INGER,0.055,0.10400000000000001,0.046,729.0,586.2,0.0,0.9,26.0,0.005,10.0,0.74,0.183,0.0,0.07200000000000001,20678000000.0,31570000.0,20.4,25.2,0.0,655.0,30.0,19522.0,100.0,1921.0,14
INGL,0.07,0.519,0.045,396.8,176.2,0.0,2.0,41.4,0.0,10.0,0.0,0.369,0.611,0.02,9170000000.0,30960000.0,4.4,7.1,0.009000000000000001,296.2,9.0,33622.0,400.0,1987.0,14
ININFO,0.086,-0.312,0.10400000000000001,212.8,58.2,0.0,6.2,31.9,0.444,2.0,0.0,0.242,0.307,0.008,25523000000.0,319230000.0,4.0,2.5,0.0,80.0,30.0,27982.0,2100.0,1995.0,14
INOL,0.215,0.12,0.134,510.8,158.2,0.0,0.0,-8.9,0.013000000000000001,10.0,0.0,0.466,0.48700000000000004,0.034,28166000000.0,96460000.0,12.3,-32.9,0.0,292.0,27.0,33608.0,18000.0,1999.0,14
INTE,0.209,-0.127,-0.057999999999999996,514.0,184.2,0.0,2.3,30.7,0.371,5.0,0.0,0.28600000000000003,0.223,0.121,43034000000.0,112360000.0,7.3,12.5,0.0,383.0,42.0,10280.0,400.0,1991.0,5
INTT,0.12,-0.293,0.14800000000000002,58.0,19.5,0.0,5.2,1.6,0.0,10.0,0.091,0.345,0.565,0.0,264000000.0,8320000.0,4.7,19.8,0.0,31.8,28.0,4115.0,200.0,0.0,14
IOB,0.02,0.081,0.037000000000000005,13.8,6.2,0.0,0.0,-86.3,0.019,10.0,0.0,0.091,0.738,0.153,13453000000.0,1235340000.0,1.9,-0.1,0.0,10.9,4.0,250609.0,29100.0,1937.0,14
IOC,-0.05,-0.298,0.006999999999999999,156.0,71.2,0.0,10.2,-4.5,0.024,10.0,0.0,0.244,0.6859999999999999,0.046,855610000000.0,9711810000.0,3.5,-19.4,0.0,88.1,17.0,179744.0,41500.0,1959.0,3
IPLB,0.139,1.084,0.013999999999999999,2175.0,844.2,0.0,0.1,51.7,0.253,2.0,0.0,0.174,0.45899999999999996,0.114,256121000000.0,126200000.0,41.0,39.3,0.021,2029.5,35.0,36892.0,1500.0,1949.0,13
IRB,0.053,0.598,0.085,138.8,46.0,0.0,2.0,22.2,0.237,10.0,0.0,0.092,0.611,0.06,42891000000.0,332360000.0,3.1,5.8,0.006999999999999999,129.1,12.0,88684.0,29400.0,1998.0,5
IRMED,0.10300000000000001,0.511,-0.008,65.0,27.5,0.0,2.9,4.8,0.005,10.0,0.016,0.47200000000000003,0.494,0.013000000000000001,5014000000.0,91670000.0,8.6,11.5,0.0,54.7,21.0,38169.0,33300.0,1900.0,14
IRSY,0.228,-0.309,0.11900000000000001,35.0,8.4,0.068,0.0,-28.7,0.93,10.0,0.292,0.124,0.377,0.047,2936000000.0,151830000.0,-1.6,-0.7,0.0,19.3,47.0,22040.0,11500.0,1986.0,14
IRYN,0.099,0.491,0.044000000000000004,1933.6,1127.0,0.024,1.7,70.1,0.155,10.0,0.0,0.133,0.5720000000000001,0.115,245613000000.0,130139999.99999999,3.4,26.9,0.0,1887.3,15.0,131637.0,109700.0,1956.0,13
ISHV,0.065,-0.226,0.06,8200.0,4420.0,0.0,0.4,70.9,0.078,10.0,0.401,0.163,0.349,0.009000000000000001,175595000000.0,32590000.000000004,64.7,76.0,0.0,5388.0,14.0,18623.0,100.0,1984.0,6
ISST,0.256,0.5820000000000001,0.295,7.3,2.0,0.0,0.0,-15.8,0.032,5.0,0.0,0.431,0.522,0.013999999999999999,920000000.0,146500000.0,-0.5,-0.4,0.046,6.3,43.0,128221.0,4900.0,1977.0,14
ITAT,0.24600000000000002,0.623,0.158,771.5,350.0,0.0,0.3,13.9,0.023,10.0,0.518,0.369,0.0,0.09,18935000000.0,24370000.0,38.2,55.9,0.0,777.0,5.0,13814.0,7400.0,1986.0,14
ITC,-0.011000000000000001,-0.18600000000000003,-0.006,266.2,135.0,0.003,2.9,11.6,0.16699999999999998,1.0,0.0,0.44299999999999995,0.0,0.387,2426582000000.0,12286490000.0,17.0,17.0,0.0,197.5,5.0,523783.0,13700.0,1910.0,12
ITIL,0.02,1.286,0.001,151.6,44.9,0.0,0.0,6.4,0.0,10.0,0.0,0.066,0.93,0.004,40594000000.0,288000000.0,15.9,22.2,0.0,141.0,45.0,42596.0,3600.0,1950.0,5
ITTL,0.094,0.364,0.06,144.5,68.6,0.0,0.0,2.9,0.0,10.0,0.7440000000000001,0.257,0.0,0.0,1103000000.0,10620000.0,105.1,36.2,0.0,103.9,6.0,10127.0,100.0,1976.0,14
JAGP,0.071,-0.384,0.046,78.0,36.2,0.0,7.4,5.1,0.151,2.0,0.0,0.128,0.626,0.095,13940000000.0,331910000.0,3.5,8.2,0.0,42.0,27.0,33473.0,1200.0,1975.0,14
